num_procs,Total time,Speedup
2,0.071205,2.0
4,0.22797,0.624687458876168
8,0.487382,0.292193802807654
16,1.129381,0.1260956222922114
32,2.861368,0.04976990027147854
64,4.864846,0.02927328018194204
128,15.338472,0.009284497178076149
256,214.502844,0.0006639072813412209
512,41.975056,0.0033927292437680133
